cylinders,displacement,horsepower,weight,acceleration,model_year,mpg
4,354.8086550443035,221.3820037527091,4708.073278775384,16.240473115413387,1973,64.26482050569535
8,113.6136793016934,166.89274056310438,4825.747625880844,12.950768660141225,1972,64.1531134274954
6,181.7785208105704,63.926723923356036,1515.435468931086,11.364102072586734,2021,72.49082244396175
5,404.9453255212853,279.62753767213746,2609.7626098172477,15.390286110788413,1975,64.29659322123787
4,302.04805854510425,295.08228321909525,4430.823103128294,16.88322934978534,1984,61.41898242789216
4,469.7470059505588,157.76085380295876,3377.5582187303735,11.055019217271155,1972,64.71745654727096
4,260.0755915033688,203.4152018523318,4326.280567187535,11.592798813150527,1986,64.6650830616366
6,445.3211936418477,162.5746565609367,4486.631489932783,15.683527003413033,1999,62.33611956669943
6,268.5612837408597,130.46991272153014,3049.1917697946296,19.582679122167022,1991,69.55639497114588
6,491.2842770548338,69.32969821445191,2756.4402830867493,10.566458440037309,1971,62.351220482936476
3,483.1304401875282,164.01693259932472,3094.0164311768394,15.850971628534515,1985,69.17700088509748
8,218.23741633355374,254.59613908986287,3784.783209184932,18.879078092820656,1991,62.360267162633974
6,452.08794157505736,54.25786527200089,2785.057035103864,13.543601180532335,2018,69.0792087319701
4,435.99677717057267,195.5269207950556,4212.459010442135,11.802130717943896,1980,58.857459919744564
4,168.4857668775764,270.1930271816722,4663.974777897578,16.002452782478496,2005,63.29180905612882
4,342.2019683289733,104.3873575035895,2488.089207555543,8.377181677769435,2022,71.61070986186483
4,110.52657254772224,95.81396617226554,4877.463754609838,12.321926606400488,1981,66.01158860070169
5,431.4185026450539,243.06915642548577,3679.538363538587,11.095688321805362,2009,62.25360301843158
4,153.30927107146854,113.77160777982333,4573.590699269093,10.695460433341136,2004,67.40418602998493
4,109.7421745820211,97.99606689016211,1863.707523452369,10.15711116232356,2012,74.60617553959473
6,248.0920201263007,144.49731264230877,2380.2469796968353,16.844759619031446,2014,71.12940704112219
4,322.30729821185025,148.1255030675545,2623.566778014073,19.461197543911574,2010,74.99707881946482
4,439.06512259510384,268.5252657541415,2559.877529110797,12.617247743863313,1984,61.28596632027712
4,489.18186071912936,204.6108679834192,2101.514048094861,8.589239682896492,2013,66.27381152724297
4,264.5868552793427,151.49036408489735,4538.703316336913,16.626941764070935,2011,68.79258785427608
6,105.3877076538135,183.59699107144172,2965.142494513425,14.458452013563074,1990,65.87469564241628
4,394.6285431908657,288.4913083313186,4870.955743633758,16.683735366149698,1973,60.675090770284086
5,317.3727676140537,78.30366915247384,3542.153283765515,15.774849970386876,1976,64.7771046364971
5,268.1143648346745,101.92888043117286,1984.3812247570208,18.86523177156172,1998,70.35398018544264
3,209.89292909271967,290.63217664663887,3410.66648441885,9.68528231272301,2010,65.7691326203295
6,291.00738169428496,289.33121213180107,4977.408017034848,10.029942143116898,1975,59.82657627961091
4,222.245433871953,94.29135531619316,3478.1009048474616,12.098830688277644,2008,70.79456980881184
4,397.9449844538913,86.27720428132456,1506.542707953469,13.896665791969433,1986,73.64059367967369
8,308.43535252690924,155.27128358465495,4765.779662566467,19.10856537209265,2005,64.04582554449439
8,448.276065144727,62.42957312199228,2322.1304214486627,18.883570752199525,1971,69.33875308393884
6,308.2884441527657,213.725883071285,3909.8516857413483,18.462465431232523,1986,68.28784491224435
4,180.07021360277062,69.37400541543555,3302.7805423440495,10.670323207323102,1998,68.5016275588909
4,437.4585905375007,64.50740677357018,2639.0181489431016,16.756116526564227,1996,70.9177999130576
6,314.03199887061845,171.2967340522123,2489.2383328673604,12.601900929085513,1976,63.83905069639063
4,166.87323602029574,289.44665902752536,4750.659518774866,19.174195130492965,1980,66.65424269335404
4,341.87328018161327,156.6989840157899,4691.74063571943,10.574430036542685,1995,66.84642747736066
4,230.24104127581955,139.12028966513776,3295.971940188227,9.695095438447513,2021,67.64555067661192
3,434.6503571626676,299.4891788755715,2404.733184372987,18.108622095602154,2019,67.19393524404943
8,270.385890231548,182.99224019479587,1858.197112601992,16.6028911414281,2022,66.50105246200695
4,385.105370405115,143.81035172256213,2048.0173400067997,17.85706013868596,2008,71.39837612953147
6,120.1252072072196,146.46520333540047,3327.8810400921157,9.895320652137531,2001,74.56705073503831
4,246.3302254469854,98.73987400837763,2577.404862026532,18.617512252993556,2019,78.0953211243957
5,492.96140331840746,178.05576436188474,1647.2384979098483,16.13144427976564,1992,61.99925422976148
5,419.55332158040227,159.71375704200145,3093.0858485888502,15.818729634782919,2020,67.78262597038616
4,147.17513699411003,117.69882408685335,4111.662523625098,14.991006357176659,2015,70.22498921220435
8,196.66090078044715,90.13502165043994,4620.932905859956,17.17851782709412,2009,68.3416111152341
6,218.52263971967164,127.80971716688842,3548.4941598908126,12.987299766567483,1976,63.5143199352257
8,353.1535354080872,177.17083192193232,4031.522433448561,9.593854951198008,1970,55.52659165234392
6,397.9377989856553,64.58331807120042,2774.2466480272633,14.471178397930359,1994,66.33823940971271
5,394.80117569932213,88.436007145989,3236.833627259288,16.977223493282747,2000,67.58816071842838
8,294.14710364868915,286.91431674227385,4053.6939977851025,9.843769434651922,1975,57.92783195529608
4,420.54462589202353,185.71383775783474,4046.8037958030304,10.688248011334425,1997,62.418328759071635
4,263.57279475813954,65.86232591500946,2985.8419259932643,16.358547464794142,2000,74.74041433258544
3,132.029837424136,223.27193969239323,3402.8356954541296,11.235811209167386,2005,68.07622777881006
4,317.0655734946016,65.45071751975868,4733.4936884283925,10.039290327039211,1985,66.61587607764461
4,479.96658153246483,234.71855676159325,3711.9916173013175,18.67270492766358,1984,62.846799434920186
4,413.05733358485475,237.4906804300067,3749.0111899030635,9.930744272649868,1991,63.25098567857083
6,323.0542720307418,212.76974393731317,4246.17102334876,12.129782948568112,1987,60.470804459779885
4,351.6583773466207,233.05113615483742,1903.280137105905,13.141163508782533,2019,71.14204994879407
4,470.83605135494054,71.99144525326443,3330.0950207705464,13.713679827084757,1977,61.528458640915105
5,259.90397366268337,231.69513808881692,4858.011076948436,12.335719109845833,1979,60.27446498425143
4,219.18553835590768,84.17207993097074,2765.8113726163465,18.95046199278957,2006,77.3621958546058
6,490.4414573001886,134.87647681796096,2532.241512477319,15.903502654115055,2008,66.13587850867059
4,442.64611607434006,285.6863133751582,3604.2278796166515,12.313935790672431,2018,60.01342481677895
8,215.678305539813,175.71886941478502,2273.917985978562,12.292636634451439,1975,63.03973819106661
6,274.7878508915876,291.85660802075347,3445.808047832771,14.035429990216972,2012,65.02347969622384
4,254.33281418327562,72.23061472168439,2044.782038001742,8.4039584500356,1979,67.7899430359775
3,142.62018504200225,169.389149890795,3529.27711244267,19.119714065995517,2008,76.80217751540825
6,482.2841160015688,65.60058006921766,3608.327142758121,10.679712532568507,1976,64.06879563373906
6,249.81122111229868,207.5525655998212,2964.40167654292,16.37111078826664,2011,69.63684157686107
6,447.63821470792135,69.6767503421291,2839.61248903541,17.332672964068763,2014,71.00860657281905
6,159.52961562587933,93.84195063509432,2359.1039744015725,17.928596182247713,2004,72.41776663260616
4,310.1057404676323,114.70757751732012,2658.22807741758,9.987707718410116,1997,71.28755220620293
4,90.06378175219332,237.18596291612081,3244.2108851697717,14.440316837068863,1994,72.33716409432581
4,400.9726032137696,90.99052970451869,2366.8061536018536,9.00409234567844,1997,67.19964079339319
6,323.98383726343695,261.6580133232669,4239.920621801519,17.657508143762662,1978,59.55107474715732
6,342.74762505729615,82.97598470770022,3981.6233446402007,13.837418407500685,1974,59.717571722569545
4,101.72277067295445,58.81111226753909,2442.5705350109843,9.901868707081732,1985,74.28158445670203
4,168.63609868761847,148.76135474241696,1841.023070855418,16.624147347296763,1998,71.37133524920175
4,111.21896638850367,294.8604104928238,1500.6301364438698,11.974038185023733,2012,69.67778809098371
4,201.34401263760094,77.5855569471943,3588.5159833352113,9.37407924512129,2024,71.01000285582519
6,343.5243832265034,75.42961100990726,2239.773112587771,13.532885899923771,1992,65.87386996813457
6,317.7981134132976,237.79162769890598,1544.038645355387,10.822959184516577,1987,70.12807574552893
6,337.1029250776239,128.0404234983913,2756.7984470720794,19.402662028849306,1995,70.14663874107927
4,310.6855339787156,229.32040430642923,4866.994618111017,12.336339893681327,2016,67.11707452327299
4,194.67209418386093,100.00264736084084,3914.7998267043604,14.869434861758,1974,71.45311751970642
6,182.6931488846586,165.01799854954072,4502.172960228603,19.38033198148474,1977,62.1195643806614
6,137.56506708536415,116.32246943722947,2006.5868439125552,12.724654238815528,2009,73.09945561243262
5,436.6097674594667,162.8820537197717,1756.5085411680275,12.297522485311465,1988,66.54798610513473
6,338.9213305873227,242.27427314632595,1540.3541722840287,9.948867684719312,2006,65.24755343692023
4,158.33462525170512,240.5024851194154,4844.818015068205,19.259642774789185,1997,68.72328075095523
5,154.4279395249206,178.94307191843092,2550.7095737374193,17.608937340154863,1973,73.07733948088732
4,446.6749526409774,282.09296093026273,3108.267298193003,10.652131868262705,1989,65.32994004570577
3,391.9469627805941,115.9460256120685,2880.8326826062107,11.992093132979983,2019,67.57817969814158
4,356.947613560256,110.07783777980828,4056.5992738750074,18.978941336983418,1991,69.53642636944953
